序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
91,紫钗记,第十四出,玉山儿,是,139,红,红颜相,红颜相向,正文
92,紫钗记,第十四出,玉山儿,是,140,丹,牡丹春衬,牡丹春衬成多丽,正文
92,紫钗记,第十四出,玉山儿,是,140,翠,梢头翠 ,向 豆蔻梢头翠,正文
93,紫钗记,第十四出,朱奴儿,否,141,朱,朱奴儿,朱奴儿,曲牌
93,紫钗记,第十四出,朱奴儿,否,141,紫,花冠紫泥 ,稳倩取花冠紫泥,正文
0,紫钗记,第十四出,朱奴儿,是,142
0,紫钗记,第十四出,尾声,否,143
94,紫钗记,第十五出,越调蛮牌令,否,144,翠,都止翠华 ,行幸中都止翠华,正文
94,紫钗记,第十五出,越调蛮牌令,否,144,银,新声银甲暖,曲啭新声银甲暖,正文
94,紫钗记,第十五出,越调蛮牌令,否,144,乌,俺家乌儿,到不如俺家乌儿,正文
94,紫钗记,第十五出,越调蛮牌令,否,144,白,取了白玉碾,俺取了白玉碾花罇,正文
94,紫钗记,第十五出,越调蛮牌令,否,144,红,剐红矮几,剐红矮几摆着蕖叶碗数十枚,正文
0,紫钗记,第十六出,忆秦娥,否,145
95,紫钗记,第十六出,春光好,否,146,翠,翠茸点,翠茸点缀花簪,正文
95,紫钗记,第十六出,春光好,否,146,金,掷金钱 ,掷金钱,正文
95,紫钗记,第十六出,春光好,否,146,红,抛红豆 ,抛红豆,正文
0,紫钗记,第十六出,夜游宫,否,147
96,紫钗记,第十六出,浣溪纱,否,148,银,轻打银筝落,轻打银筝落燕泥,正文
97,紫钗记,第十六出,画眉序,否,149,翠,铺翠陌平,铺翠陌平莎茸嫩,正文
97,紫钗记,第十六出,画眉序,否,149,金,垂杨金偃 ,拂画檐垂杨金偃,正文
98,紫钗记,第十六出,黄莺儿,否,150,黄,黄莺儿,黄莺儿,曲牌
98,紫钗记,第十六出,黄莺儿,否,150,红,红妆几,红妆几瓣,正文
99,紫钗记,第十六出,皂罗袍,否,151,金,抛出金缕悬,斜簪抛出金缕悬,正文
99,紫钗记,第十六出,皂罗袍,否,151,翠,晴丝翠烟 ,晴丝翠烟,正文
99,紫钗记,第十六出,皂罗袍,否,151,粉,粉融香,粉融香润,正文
99,紫钗记,第十六出,皂罗袍,否,151,红,几滴红妆面,真珠几滴红妆面,正文
100,紫钗记,第十六出,啄木儿,否,152,银,向 银塘照,和你向 银塘照影分娇面,正文
101,紫钗记,第十六出,玉交枝,否,153,金,绣墩金线 ,坐一答绣墩金线,正文
101,紫钗记,第十六出,玉交枝,否,153,绿,啼断绿杨枝,只为晓莺啼断绿杨枝,正文
101,紫钗记,第十六出,玉交枝,否,153,粉,粉骨碎,粉骨碎身,正文
