出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第八出,谒金门后,否,2,[0],[0],[0],[0],"[4, 6, 12, 6, 4, 7, 7, 4, 3, 7, 7, 7, 3, 4, 3, 5, 5, 6, 8, 9, 10, 7, 8, 12, 7, 2, 6, 1, 4, 7]",[],"[6, 5, 5, 5, 5, 8, 6, 4, 8, 6, 4, 6, 8, 6, 10, 6, 4, 2, 5, 5]"
第八出,降黄龙,否,3,[0],[0],[0],[0],"[6, 5, 5, 5, 5, 8, 6, 4, 8, 6, 4, 6, 8, 6, 10, 6, 4, 2, 5, 5]",[]
第八出,降黄龙,是,4,[0],[0],[0],[0],[],[],"[2, 7, 4, 2, 6, 2, 4, 10, 7, 7, 7, 7, 6, 5, 7, 7, 5]"
第八出,黄龙衮,否,5,[0],[0],[0],[0],"[2, 7, 4, 2, 6, 2, 4, 10, 7, 7, 7, 7, 6, 5, 7, 7, 5]",[],"[1, 1, 1, 11, 4, 2, 8, 8, 3]"
第八出,黄龙衮,是,6,[0],[0],[0],[0],"[1, 1, 1, 11, 4, 2, 8, 8, 3]",[]
第八出,尾声,否,7,[0],[0],[0],[0],[],[],"[2, 2, 6, 4, 7, 4, 5, 4, 6, 4, 13, 8, 4, 10, 2, 11, 8, 5, 4, 12, 7]"
第九出,北点绛唇,否,1,[0],[0],[0],[0],[],[],"[11, 11, 4, 4]"
第九出,北点绛唇,是,2,[0],[0],[0],[0],"[11, 11, 4, 4]",[],"[7, 7, 7, 7, 8, 8, 6, 6, 6, 4, 4, 9, 9, 6, 6, 6, 4, 4, 4, 4, 4, 7, 7, 4, 4, 6, 6, 4, 4, 12, 6, 4, 4]"
第九出,清江引,否,3,[0],[0],[0],[0],"[7, 7, 7, 7, 8, 8, 6, 6, 6, 4, 4, 9, 9, 6, 6, 6, 4, 4, 4, 4, 4, 7, 7, 4, 4, 6, 6, 4, 4, 12, 6, 4, 4]",[]
第九出,清江引,是,4,[0],[0],[0],[0],[],[]
第十出,七娘子,否,1,[0],[0],[0],[0],[],[]
