序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
67,邯郸记,第十四出,莺画眉,否,106,金,滴金茎湛,滴金茎湛露膏,正文
68,邯郸记,第十四出,滴滴金,否,107,金,滴滴金,滴滴金,曲牌
68,邯郸记,第十四出,滴滴金,否,107,白,旗号白粮船,各路的 货郎儿分旗号白粮船到了,正文
69,邯郸记,第十四出,啄木儿,否,108,金,透海金鳌,谁拨转个 透海金鳌,正文
69,邯郸记,第十四出,啄木儿,否,108,金,乃秋金之利,铁乃秋金之利乎,正文
69,邯郸记,第十四出,啄木儿,否,108,金,盖金为水,盖金为水火既济,正文
70,邯郸记,第十四出,三段子,否,109,金,文章金刀笔,剪文章金刀笔刀,正文
70,邯郸记,第十四出,三段子,否,109,金,你 金牛作,你 金牛作颂似 河清照,正文
0,邯郸记,第十四出,斗双鸡,否,110
0,邯郸记,第十四出,上小楼,否,111
0,邯郸记,第十四出,耍鲍老,否,112
71,邯郸记,第十四出,尾声,否,113,银,本来银汉是,本来银汉是红墙,正文
71,邯郸记,第十四出,尾声,否,113,红,汉是红墙,本来银汉是红墙,正文
71,邯郸记,第十四出,尾声,否,113,白,卢家白玉堂,隔得卢家白玉堂,正文
0,邯郸记,第十四出,赛观音,否,114
0,邯郸记,第十四出,赛观音,是,115
0,邯郸记,第十四出,人月圆,否,116
0,邯郸记,第十四出,人月圆,是,117
72,邯郸记,第十五出,金珑璁,否,118,金,金珑璁,金珑璁,曲牌
73,邯郸记,第十五出,集唐,否,119,红,红旗半,红旗半卷出辕门,正文
73,邯郸记,第十五出,集唐,否,119,兰,斩楼兰报国,直斩楼兰报国恩,正文
0,邯郸记,第十五出,北绛都春,否,120
74,邯郸记,第十五出,混江龙,否,121,白,昆仑白阑 ,小番儿也到那昆仑白阑,正文
74,邯郸记,第十五出,混江龙,否,121,丹,的山丹 ,小番儿也会剔溜秃律打的山丹,正文
74,邯郸记,第十五出,混江龙,否,121,白,白茫茫,白茫茫沙气寒,正文
74,邯郸记,第十五出,混江龙,否,121,金,瀚海金梁倒,三寸舌把架瀚海金梁倒放番,正文
74,邯郸记,第十五出,混江龙,否,121,红,御沟红叶”,此乃“御沟红叶”之计也,正文
74,邯郸记,第十五出,混江龙,否,121,红,水俏红颜,须不比知风识水俏红颜,正文
74,邯郸记,第十五出,混江龙,否,121,丹,枫叶丹,倒使着寒江枫叶丹,正文
74,邯郸记,第十五出,混江龙,否,121,红,一道红,赏你一道红,正文
74,邯郸记,第十五出,混江龙,否,121,红,醉题红锦囊,怀揣着片醉题红锦囊出关,正文
0,邯郸记,第十五出,北尾,否,122
75,邯郸记,第十六出,一枝花,否,123,兰,过贺兰山,杀过贺兰山,正文
76,邯郸记,第十六出,北二犯江儿水,否,124,赤,哈麻赤 ,撒里哈麻赤,正文
77,邯郸记,第十六出,北尾,否,125,金,勾 金蹬上,可前勾 金蹬上马敲、重奏的 凯,正文
0,邯郸记,第十六出,清江引,否,126
0,邯郸记,第十六出,清江引,否,127
0,邯郸记,第十六出,北调脱布衫,否,128
0,邯郸记,第十六出,中吕小梁州,否,129
0,邯郸记,第十六出,么,否,130
0,邯郸记,第十六出,耍孩儿,否,131
0,邯郸记,第十六出,煞尾,否,132
