序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
93,牡丹亭,第二十一出,驻云飞,否,156,金,煮海金丹和,这是煮海金丹和铁树花,正文
93,牡丹亭,第二十一出,驻云飞,否,156,丹,海金丹和铁,这是煮海金丹和铁树花,正文
93,牡丹亭,第二十一出,驻云飞,否,156,金,鞨柳金芽,这是靺鞨柳金芽,正文
94,牡丹亭,第二十一出,驻云飞,是,157,黄,古人黄金赠,古人黄金赠壮士,正文
94,牡丹亭,第二十一出,驻云飞,是,157,金,人黄金赠壮,古人黄金赠壮士,正文
94,牡丹亭,第二十一出,驻云飞,是,157,银,常例银两,我将衙门常例银两,正文
95,牡丹亭,第二十一出,三学士,否,158,金,骤金鞭及,骤金鞭及早把荷衣挂,正文
96,牡丹亭,第二十一出,三学士,是,159,金,在淘金的会,只在淘金的会拣沙,正文
97,牡丹亭,第二十一出,尾声,否,160,乌,乌纱巾,乌纱巾上是青天,下场诗
97,牡丹亭,第二十一出,尾声,否,160,金,闻道金门堪,闻道金门堪济美,下场诗
97,牡丹亭,第二十一出,尾声,否,160,黄,壮士黄金气,你赠壮士黄金气色佳,正文
97,牡丹亭,第二十一出,尾声,否,160,青,上是青天,乌纱巾上是青天,下场诗
97,牡丹亭,第二十一出,尾声,否,160,金,士黄金气色,你赠壮士黄金气色佳,正文
97,牡丹亭,第二十一出,尾声,否,160,白,白,李　白,下场诗
0,牡丹亭,第二十二出,捣练子,否,161
98,牡丹亭,第二十二出,山坡羊,否,162,白,则把白面书,偏则把白面书生奚落,正文
0,牡丹亭,第二十二出,步步娇,否,163
0,牡丹亭,第二十二出,风入松,否,164
99,牡丹亭,第二十二出,风入松,是,165,白,白居易,白居易　（合,下场诗
100,牡丹亭,第二十三出,北点绛唇,否,166,金,和金达子,和金达子争占江山,正文
101,牡丹亭,第二十三出,混江龙,否,167,白,也明白,这簿上开除都也明白,正文
101,牡丹亭,第二十三出,混江龙,否,167,赤,揉定赤支毸,铁丝儿揉定赤支毸,正文
101,牡丹亭,第二十三出,混江龙,否,167,黑,墨者黑,疏喇沙斗河魁近墨者黑,正文
101,牡丹亭,第二十三出,混江龙,否,167,粉,些花粉钱,好使些花粉钱,正文
101,牡丹亭,第二十三出,混江龙,否,167,白,白玉楼,白玉楼摩空作赋,正文
101,牡丹亭,第二十三出,混江龙,否,167,黄,贬做黄莺儿,贬做黄莺儿,正文
101,牡丹亭,第二十三出,混江龙,否,167,粉,使花粉钱,孙心使花粉钱,正文
101,牡丹亭,第二十三出,混江龙,否,167,金,十锭金、十,十锭金、十贯钞,正文
